Iteration,Accuracy,Weight Decay
0,0.6180438448566611,0.09856703017754863
1,0.6281618887015177,0.09505156316910253
2,0.6306913996627319,0.08958274611833776
3,0.6298482293423272,0.08239959257266853
4,0.6222596964586846,0.07381604081063549
5,0.6214165261382799,0.06420723323269063
6,0.6492411467116358,0.05399312083816452
7,0.6913996627318718,0.04362010935144712
8,0.8693086003372681,0.033541549149739544
9,0.8591905564924115,0.024197921676153977
10,0.8735244519392917,0.015997588286985182
11,0.893760539629005,0.009298942900905173
12,0.8954468802698144,0.0043947484649525265
13,0.9021922428330523,0.0014993418089141951
14,0.9021922428330523,0.0007392660973616683
