Iteration,Accuracy,Weight Decay
0,0.5868465430016864,0.06846775782066554
1,0.7234401349072512,0.049252756986285534
2,0.7740303541315345,0.035430312718929324
3,0.7462057335581788,0.025487041460657042
4,0.8010118043844857,0.018334280241060232
5,0.8043844856661045,0.01318889179336965
6,0.821247892074199,0.009487520887111427
7,0.8322091062394603,0.006824914025652041
8,0.8431703204047217,0.004909549292357186
9,0.8524451939291737,0.003531718372347135
10,0.8625632377740303,0.0025405661332276197
11,0.8524451939291737,0.0018275738880655916
12,0.8355817875210793,0.0013146779659287612
13,0.8718381112984823,0.0009457227231058764
14,0.8988195615514334,0.0006803122073830045
