Iteration,Accuracy,Weight Decay
0,0.5531197301854974,1.747528400007683e-09
1,0.6812816188870152,2.7224498908881834e-06
2,0.7453625632377741,5.652437050490834e-06
3,0.7900505902192243,1.4667411082013333e-06
4,0.7959527824620574,0.0004982290216050967
5,0.8204047217537943,0.0010347964949687597
6,0.8693086003372681,0.0002683931587758231
7,0.8600337268128162,1.0403368176783266e-07
8,0.8794266441821248,1.792368340217104e-05
9,0.8870151770657673,0.00013713943858997027
10,0.9080944350758853,0.00010152379288562412
11,0.9047217537942664,3.470280638483994e-07
12,0.8962900505902193,9.152942703070501e-08
13,0.8996627318718381,8.255032631912933e-09
14,0.9089376053962901,1.6297508346206433e-08
