Iteration,Accuracy,Weight Decay
0,0.581787521079258,0.08535984132026202
1,0.6146711635750421,0.07357799408195281
2,0.7344013490725126,0.0626786822172997
3,0.7537942664418212,0.05266190572630273
4,0.7731871838111298,0.043527664608961875
5,0.8161888701517707,0.03527595886527714
6,0.8296795952782462,0.027906788495248514
7,0.8490725126475548,0.02142015349887602
8,0.8659359190556493,0.015816053876159652
9,0.845699831365936,0.011094489627099403
10,0.8785834738617201,0.007255460751695274
11,0.9005059021922428,0.004298967249947263
12,0.887858347386172,0.002225009121855379
13,0.8946037099494097,0.0010335863674196155
14,0.8979763912310287,0.0007246989866399735
