Iteration,Accuracy,Weight Decay
0,0.5632377740303541,0.0003855621761535272
1,0.6357504215851602,0.0003378241614858796
2,0.6964586846543002,0.00029008614681823216
3,0.7563237774030354,0.00024234813215058462
4,0.7706576728499157,0.00019461011748293712
5,0.7934232715008431,0.00014687210281528963
6,0.8178752107925801,9.913408814764214e-05
7,0.8381112984822934,5.1396073479994625e-05
8,0.8524451939291737,3.6580588123471343e-06
9,0.8600337268128162,-4.4079955855300356e-05
10,0.8541315345699831,-9.18179705229479e-05
11,0.8558178752107926,-0.0001395559851905954
12,0.8701517706576728,-0.00018729399985824288
13,0.872681281618887,-0.00023503201452589037
14,0.8760539629005059,-0.0002827700291935379
