Iteration,Accuracy,Weight Decay
0,0.5632377740303541,0.09858055820270807
1,0.6467116357504216,0.09727226402360079
2,0.6661045531197302,0.09482192151862269
3,0.7166947723440135,0.09038950500613194
4,0.8187183811129848,0.08285422480701589
5,0.8313659359190556,0.0713015550205379
6,0.8330522765598651,0.05612288902273666
7,0.8676222596964587,0.03976669372614862
8,0.8414839797639123,0.025510253204049822
9,0.8650927487352446,0.015206179604296877
10,0.8583473861720068,0.008723705342069515
11,0.8659359190556493,0.004994684165192468
12,0.8465430016863407,0.0029592295210260746
13,0.8693086003372681,0.0018799306687658744
14,0.8760539629005059,0.0013164192457227669
