Iteration,Accuracy,Weight Decay
0,0.596964586846543,0.00022144999474926273
1,0.6096121416526138,0.0013812758921545032
2,0.6998313659359191,0.0009384153196780679
3,0.7276559865092749,0.0001694997343147949
4,0.7318718381112985,4.371771933927582e-05
5,0.7715008431703204,1.9913425768460514e-05
6,0.7959527824620574,1.382644490301891e-05
7,0.8010118043844857,0.0007406005584247314
8,0.7478920741989882,0.002660772228327417
9,0.8347386172006745,0.00018537113073435204
10,0.8305227655986509,0.0012146231136509836
11,0.8650927487352446,2.2474725145027594e-05
12,0.8693086003372681,0.000762401282602933
13,0.8861720067453626,0.0009956888444786248
14,0.8912310286677909,1.4577214846864305e-05
