Iteration,Accuracy,Weight Decay
0,0.6559865092748736,0.09856703017754863
1,0.7074198988195616,0.09505156316910253
2,0.7537942664418212,0.08958274611833776
3,0.7833052276559865,0.08239959257266853
4,0.8043844856661045,0.07381604081063549
5,0.8161888701517707,0.06420723323269063
6,0.8549747048903878,0.05399312083816452
7,0.857504215851602,0.04362010935144712
8,0.8600337268128162,0.033541549149739544
9,0.8718381112984823,0.024197921676153977
10,0.8819561551433389,0.015997588286985182
11,0.8794266441821248,0.009298942900905173
12,0.8929173693086003,0.0043947484649525265
13,0.8650927487352446,0.0014993418089141951
14,0.8996627318718381,0.0007392660973616683
