Iteration,Accuracy,Weight Decay
0,0.6197301854974705,0.06846775782066554
1,0.718381112984823,0.049252756986285534
2,0.7580101180438449,0.035430312718929324
3,0.8094435075885329,0.025487041460657042
4,0.8161888701517707,0.018334280241060232
5,0.8465430016863407,0.01318889179336965
6,0.842327150084317,0.009487520887111427
7,0.8482293423271501,0.006824914025652041
8,0.8507588532883642,0.004909549292357186
9,0.8161888701517707,0.003531718372347135
10,0.866779089376054,0.0025405661332276197
11,0.8861720067453626,0.0018275738880655916
12,0.8718381112984823,0.0013146779659287612
13,0.8785834738617201,0.0009457227231058764
14,0.8870151770657673,0.0006803122073830045
