Iteration,Accuracy,Weight Decay
0,0.5531197301854974,0.09238813240221595
1,0.7057335581787522,0.08576911709979504
2,0.7428330522765598,0.07915010179737414
3,0.7875210792580101,0.07253108649495323
4,0.8094435075885329,0.06591207119253231
5,0.8338954468802698,0.059293055890111405
6,0.8305227655986509,0.05267404058769049
7,0.8397976391231029,0.046055025285269585
8,0.8617200674536256,0.03943600998284867
9,0.8802698145025295,0.03281699468042776
10,0.8962900505902193,0.026197979378006858
11,0.9047217537942664,0.01957896407558593
12,0.9038785834738617,0.012959948773165031
13,0.9038785834738617,0.006340933470744117
14,0.897133220910624,-0.00027808183167679634
