Iteration,Accuracy,Weight Decay
0,0.5843170320404721,1.747528400007683e-09
1,0.6256323777403036,2.7224498908881834e-06
2,0.6087689713322091,5.652437050490834e-06
3,0.654300168634064,1.4667411082013333e-06
4,0.6973018549747049,0.0004982290216050967
5,0.7546374367622259,0.0010347964949687597
6,0.7824620573355818,0.0002683931587758231
7,0.8035413153456998,1.0403368176783266e-07
8,0.8052276559865092,1.792368340217104e-05
9,0.8482293423271501,0.00013713943858997027
10,0.8659359190556493,0.00010152379288562412
11,0.8617200674536256,3.470280638483994e-07
12,0.8701517706576728,9.152942703070501e-08
13,0.8718381112984823,8.255032631912933e-09
14,0.8903878583473862,1.6297508346206433e-08
