Iteration,Accuracy,Weight Decay
0,0.6812816188870152,0.08535984132026202
1,0.7352445193929174,0.07357799408195281
2,0.7782462057335582,0.0626786822172997
3,0.8052276559865092,0.05266190572630273
4,0.8195615514333895,0.043527664608961875
5,0.8566610455311973,0.03527595886527714
6,0.8735244519392917,0.027906788495248514
7,0.8752107925801011,0.02142015349887602
8,0.8718381112984823,0.015816053876159652
9,0.8861720067453626,0.011094489627099403
10,0.8870151770657673,0.007255460751695274
11,0.897133220910624,0.004298967249947263
12,0.893760539629005,0.002225009121855379
13,0.8954468802698144,0.0010335863674196155
14,0.893760539629005,0.0007246989866399735
