Iteration,Accuracy,Weight Decay
0,0.3625632377740304,0.0003855621761535272
1,0.5927487352445194,0.0003378241614858796
2,0.6559865092748736,0.00029008614681823216
3,0.7563237774030354,0.00024234813215058462
4,0.7234401349072512,0.00019461011748293712
5,0.7883642495784149,0.00014687210281528963
6,0.8204047217537943,9.913408814764214e-05
7,0.7875210792580101,5.1396073479994625e-05
8,0.811973018549747,3.6580588123471343e-06
9,0.8263069139966274,-4.4079955855300356e-05
10,0.8288364249578415,-9.18179705229479e-05
11,0.842327150084317,-0.0001395559851905954
12,0.872681281618887,-0.00018729399985824288
13,0.8566610455311973,-0.00023503201452589037
14,0.8549747048903878,-0.0002827700291935379
