Iteration,Accuracy,Weight Decay
0,0.627318718381113,0.09858055820270807
1,0.7495784148397976,0.09727226402360079
2,0.7976391231028668,0.09482192151862269
3,0.8406408094435076,0.09038950500613194
4,0.8145025295109612,0.08285422480701589
5,0.8237774030354131,0.0713015550205379
6,0.8524451939291737,0.05612288902273666
7,0.8524451939291737,0.03976669372614862
8,0.8473861720067454,0.025510253204049822
9,0.8853288364249579,0.015206179604296877
10,0.893760539629005,0.008723705342069515
11,0.9038785834738617,0.004994684165192468
12,0.9106239460370995,0.0029592295210260746
13,0.8752107925801011,0.0018799306687658744
14,0.8448566610455311,0.0013164192457227669
