Iteration,Accuracy,Weight Decay
0,0.5269814502529511,0.09856703017754863
1,0.5994940978077572,0.09505156316910253
2,0.6753794266441822,0.08958274611833776
3,0.6720067453625632,0.08239959257266853
4,0.6998313659359191,0.07381604081063549
5,0.7462057335581788,0.06420723323269063
6,0.7563237774030354,0.05399312083816452
7,0.8043844856661045,0.04362010935144712
8,0.8431703204047217,0.033541549149739544
9,0.8541315345699831,0.024197921676153977
10,0.893760539629005,0.015997588286985182
11,0.903035413153457,0.009298942900905173
12,0.8996627318718381,0.0043947484649525265
13,0.9055649241146712,0.0014993418089141951
14,0.893760539629005,0.0007392660973616683
