Iteration,Accuracy,Weight Decay
0,0.5126475548060708,0.06846775782066554
1,0.709106239460371,0.049252756986285534
2,0.7495784148397976,0.035430312718929324
3,0.7976391231028668,0.025487041460657042
4,0.8330522765598651,0.018334280241060232
5,0.8229342327150084,0.01318889179336965
6,0.8440134907251264,0.009487520887111427
7,0.8566610455311973,0.006824914025652041
8,0.8608768971332209,0.004909549292357186
9,0.8861720067453626,0.003531718372347135
10,0.8785834738617201,0.0025405661332276197
11,0.903035413153457,0.0018275738880655916
12,0.8912310286677909,0.0013146779659287612
13,0.8583473861720068,0.0009457227231058764
14,0.897133220910624,0.0006803122073830045
