Iteration,Accuracy,Weight Decay
0,0.36930860033726814,0.09238813240221595
1,0.6610455311973018,0.08576911709979504
2,0.7082630691399663,0.07915010179737414
3,0.7124789207419899,0.07253108649495323
4,0.7478920741989882,0.06591207119253231
5,0.784991568296796,0.059293055890111405
6,0.8178752107925801,0.05267404058769049
7,0.821247892074199,0.046055025285269585
8,0.851602023608769,0.03943600998284867
9,0.8431703204047217,0.03281699468042776
10,0.8802698145025295,0.026197979378006858
11,0.8979763912310287,0.01957896407558593
12,0.8996627318718381,0.012959948773165031
13,0.8473861720067454,0.006340933470744117
14,0.8962900505902193,-0.00027808183167679634
