Iteration,Accuracy,Weight Decay
0,0.5986509274873525,1.747528400007683e-09
1,0.627318718381113,2.7224498908881834e-06
2,0.6602023608768971,5.652437050490834e-06
3,0.7116357504215851,1.4667411082013333e-06
4,0.6627318718381113,0.0004982290216050967
5,0.7655986509274874,0.0010347964949687597
6,0.8195615514333895,0.0002683931587758231
7,0.8397976391231029,1.0403368176783266e-07
8,0.8414839797639123,1.792368340217104e-05
9,0.8617200674536256,0.00013713943858997027
10,0.8625632377740303,0.00010152379288562412
11,0.8768971332209107,3.470280638483994e-07
12,0.8659359190556493,9.152942703070501e-08
13,0.8836424957841484,8.255032631912933e-09
14,0.8836424957841484,1.6297508346206433e-08
