,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.1904839277267456,1.272325038909912,1.0981000661849976,1.2534408569335938,1.0692741870880127,1.1561245918273926,1.131085991859436,1.0002915859222412,1.103939652442932,1.1783735752105713,0.989318549633026,1.0090216398239136,0.997852087020874,1.053898811340332,1.1385586261749268,0.9928938746452332,1.07602858543396,1.125749945640564,0.9973846673965454,1.1616709232330322,1.1833502054214478,1.1563591957092283,1.1503634452819824,0.993456482887268,0.9064909815788268,1.0572519302368164,1.1508026123046875,1.0825668573379517,1.008493423461914,1.0923832654953003,1.0655364990234375,1.051028609275818,1.1424777507781982,1.226608157157898,1.0153334140777588,1.1737180948257446,1.1195117235183716,0.979217767715454,1.0549653768539429,0.9469342827796936,1.0597131252288818,1.0317602157592771,1.1543744802474976,0.9893198013305664,1.0447065830230713,1.1480655670166016,1.485454797744751,1.114120602607727,1.0615557432174685,1.103648662567139
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.028988480567932,0.919543445110321,1.1746195554733276,1.195216178894043,0.8532425165176392,1.1324843168258667,0.7926797866821289,1.140474796295166,0.96630597114563,0.989639937877655,0.8147508502006531,0.8612229824066162,1.0258691310882568,1.058307647705078,1.0643589496612549,1.4917062520980835,1.0116249322891235,0.9857569932937622,1.0418062210083008,0.729960560798645,1.7857325077056885,0.8495461344718933,0.9164409041404724,1.2051098346710205,1.1493326425552368,0.8269838690757751,1.4476155042648315,1.1411367654800415,1.0165064334869385,1.1215742826461792,1.517867088317871,1.2309417724609375,0.9172741770744324,0.856292724609375,1.4355448484420776,0.9229365587234496,0.864691972732544,0.8108493685722351,0.8755820393562317,1.2941328287124634,0.8464134335517883,0.8820645809173584,1.0942238569259644,0.7670379281044006,0.9627163410186768,0.9887253642082214,1.4155133962631226,0.8886948227882385,1.5158811807632446,0.8800480961799622
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.845635712146759,0.6633477807044983,0.9955363869667052,0.8640888929367065,0.7271639704704285,0.7517378330230713,0.6457522511482239,0.9087039232254028,0.8498839735984802,0.9579970240592957,0.7442459464073181,0.5594097971916199,0.9071050882339478,1.043390154838562,0.8074957132339478,1.0042933225631714,0.7188972234725952,0.6607047319412231,0.9669378995895386,0.6651480793952942,1.158466339111328,0.7729933857917786,0.7237688302993774,1.0059926509857178,0.7765336036682129,0.6861673593521118,0.9267199635505676,0.7743875980377197,0.9392523765563964,0.6993672251701355,0.9142139554023744,0.8393457531929016,0.8105621933937073,0.7240344882011414,0.8886852264404297,0.7763463854789734,0.6537773013114929,0.8529507517814636,0.7869236469268799,0.8049913644790649,0.8485133051872253,0.6831267476081848,0.8453208804130554,0.6029777526855469,0.6067813038825989,0.7389472126960754,0.7399052977561951,0.6034559011459351,0.9004430770874023,0.7106044292449951
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
