Iteration,Accuracy,Weight Decay
0,0.5261382799325464,0.08535984132026202
1,0.6956155143338955,0.07357799408195281
2,0.7630691399662732,0.0626786822172997
3,0.8102866779089376,0.05266190572630273
4,0.8237774030354131,0.043527664608961875
5,0.8279932546374368,0.03527595886527714
6,0.8650927487352446,0.027906788495248514
7,0.8591905564924115,0.02142015349887602
8,0.8895446880269815,0.015816053876159652
9,0.893760539629005,0.011094489627099403
10,0.897133220910624,0.007255460751695274
11,0.9047217537942664,0.004298967249947263
12,0.9072512647554806,0.002225009121855379
13,0.8988195615514334,0.0010335863674196155
14,0.9064080944350759,0.0007246989866399735
