Iteration,Accuracy,Weight Decay
0,0.5632377740303541,0.0003855621761535272
1,0.6138279932546374,0.0003378241614858796
2,0.6770657672849916,0.00029008614681823216
3,0.7419898819561551,0.00024234813215058462
4,0.7900505902192243,0.00019461011748293712
5,0.7706576728499157,0.00014687210281528963
6,0.8043844856661045,9.913408814764214e-05
7,0.8507588532883642,5.1396073479994625e-05
8,0.8760539629005059,3.6580588123471343e-06
9,0.8650927487352446,-4.4079955855300356e-05
10,0.8389544688026982,-9.18179705229479e-05
11,0.8465430016863407,-0.0001395559851905954
12,0.8549747048903878,-0.00018729399985824288
13,0.8532883642495784,-0.00023503201452589037
14,0.8482293423271501,-0.0002827700291935379
