Iteration,Accuracy,Weight Decay
0,0.5463743676222597,0.09858055820270807
1,0.6197301854974705,0.09727226402360079
2,0.688026981450253,0.09482192151862269
3,0.7284991568296796,0.09038950500613194
4,0.7048903878583473,0.08285422480701589
5,0.7647554806070826,0.0713015550205379
6,0.7723440134907251,0.05612288902273666
7,0.8482293423271501,0.03976669372614862
8,0.8642495784148398,0.025510253204049822
9,0.8819561551433389,0.015206179604296877
10,0.8962900505902193,0.008723705342069515
11,0.8954468802698144,0.004994684165192468
12,0.8912310286677909,0.0029592295210260746
13,0.9047217537942664,0.0018799306687658744
14,0.8996627318718381,0.0013164192457227669
