Iteration,Accuracy,Weight Decay
0,0.6728499156829679,0.09856703017754863
1,0.7006745362563238,0.09505156316910253
2,0.7824620573355818,0.08958274611833776
3,0.8161888701517707,0.08239959257266853
4,0.8372681281618887,0.07381604081063549
5,0.8372681281618887,0.06420723323269063
6,0.8659359190556493,0.05399312083816452
7,0.8853288364249579,0.04362010935144712
8,0.887858347386172,0.033541549149739544
9,0.8946037099494097,0.024197921676153977
10,0.897133220910624,0.015997588286985182
11,0.8996627318718381,0.009298942900905173
12,0.8752107925801011,0.0043947484649525265
13,0.903035413153457,0.0014993418089141951
14,0.9198988195615514,0.0007392660973616683
