Iteration,Accuracy,Weight Decay
0,0.6433389544688027,0.06846775782066554
1,0.7478920741989882,0.049252756986285534
2,0.7681281618887015,0.035430312718929324
3,0.7934232715008431,0.025487041460657042
4,0.8330522765598651,0.018334280241060232
5,0.8102866779089376,0.01318889179336965
6,0.8532883642495784,0.009487520887111427
7,0.8431703204047217,0.006824914025652041
8,0.8819561551433389,0.004909549292357186
9,0.8988195615514334,0.003531718372347135
10,0.8988195615514334,0.0025405661332276197
11,0.8954468802698144,0.0018275738880655916
12,0.8979763912310287,0.0013146779659287612
13,0.9089376053962901,0.0009457227231058764
14,0.9131534569983136,0.0006803122073830045
