Iteration,Accuracy,Weight Decay
0,0.5750421585160203,0.09238813240221595
1,0.6568296795952783,0.08576911709979504
2,0.7268128161888702,0.07915010179737414
3,0.7858347386172007,0.07253108649495323
4,0.7959527824620574,0.06591207119253231
5,0.8018549747048904,0.059293055890111405
6,0.8279932546374368,0.05267404058769049
7,0.8389544688026982,0.046055025285269585
8,0.8473861720067454,0.03943600998284867
9,0.8490725126475548,0.03281699468042776
10,0.8954468802698144,0.026197979378006858
11,0.8895446880269815,0.01957896407558593
12,0.8988195615514334,0.012959948773165031
13,0.9106239460370995,0.006340933470744117
14,0.9106239460370995,-0.00027808183167679634
