Iteration,Accuracy,Weight Decay
0,0.5227655986509275,1.747528400007683e-09
1,0.6306913996627319,2.7224498908881834e-06
2,0.663575042158516,5.652437050490834e-06
3,0.6838111298482293,1.4667411082013333e-06
4,0.7512647554806071,0.0004982290216050967
5,0.790893760539629,0.0010347964949687597
6,0.790893760539629,0.0002683931587758231
7,0.8296795952782462,1.0403368176783266e-07
8,0.8220910623946037,1.792368340217104e-05
9,0.8389544688026982,0.00013713943858997027
10,0.845699831365936,0.00010152379288562412
11,0.8693086003372681,3.470280638483994e-07
12,0.8895446880269815,9.152942703070501e-08
13,0.872681281618887,8.255032631912933e-09
14,0.8693086003372681,1.6297508346206433e-08
