Iteration,Accuracy,Weight Decay
0,0.6374367622259697,0.08535984132026202
1,0.7209106239460371,0.07357799408195281
2,0.7824620573355818,0.0626786822172997
3,0.7757166947723441,0.05266190572630273
4,0.8145025295109612,0.043527664608961875
5,0.7799325463743676,0.03527595886527714
6,0.8322091062394603,0.027906788495248514
7,0.8608768971332209,0.02142015349887602
8,0.866779089376054,0.015816053876159652
9,0.8903878583473862,0.011094489627099403
10,0.8929173693086003,0.007255460751695274
11,0.8996627318718381,0.004298967249947263
12,0.9055649241146712,0.002225009121855379
13,0.887858347386172,0.0010335863674196155
14,0.8962900505902193,0.0007246989866399735
