Iteration,Accuracy,Weight Decay
0,0.6315345699831366,0.0003855621761535272
1,0.6433389544688027,0.0003378241614858796
2,0.7689713322091062,0.00029008614681823216
3,0.7925801011804384,0.00024234813215058462
4,0.8043844856661045,0.00019461011748293712
5,0.8288364249578415,0.00014687210281528963
6,0.8355817875210793,9.913408814764214e-05
7,0.8532883642495784,5.1396073479994625e-05
8,0.8465430016863407,3.6580588123471343e-06
9,0.8709949409780776,-4.4079955855300356e-05
10,0.8768971332209107,-9.18179705229479e-05
11,0.8709949409780776,-0.0001395559851905954
12,0.8642495784148398,-0.00018729399985824288
13,0.8709949409780776,-0.00023503201452589037
14,0.8625632377740303,-0.0002827700291935379
