Iteration,Accuracy,Weight Decay
0,0.5640809443507588,0.09858055820270807
1,0.6163575042158516,0.09727226402360079
2,0.7478920741989882,0.09482192151862269
3,0.7790893760539629,0.09038950500613194
4,0.8170320404721754,0.08285422480701589
5,0.7858347386172007,0.0713015550205379
6,0.8558178752107926,0.05612288902273666
7,0.8507588532883642,0.03976669372614862
8,0.8709949409780776,0.025510253204049822
9,0.8853288364249579,0.015206179604296877
10,0.8996627318718381,0.008723705342069515
11,0.8929173693086003,0.004994684165192468
12,0.9080944350758853,0.0029592295210260746
13,0.9198988195615514,0.0018799306687658744
14,0.9089376053962901,0.0013164192457227669
