Iteration,Accuracy,Weight Decay
0,0.572512647554806,1.1970077438159955e-05
1,0.6534569983136593,0.00568363818973745
2,0.6610455311973018,0.0029140994884292166
3,0.7588532883642496,0.00016053944034955832
4,0.8035413153456998,0.002671027172776437
5,0.8128161888701517,8.301220385891325e-05
6,0.8288364249578415,9.703866954310857e-05
7,0.8296795952782462,0.0040056076356186415
8,0.8052276559865092,0.00019807754750089768
9,0.842327150084317,0.0008927398820667588
10,0.8566610455311973,0.0002661449590334671
11,0.8642495784148398,0.006881730846246292
12,0.8718381112984823,0.0010667205392795513
13,0.8735244519392917,0.00012250129739169445
14,0.8684654300168634,0.007154686665231807
