Iteration,Accuracy,Weight Decay
0,0.6467116357504216,0.09856703017754863
1,0.7470489038785835,0.09505156316910253
2,0.7428330522765598,0.08958274611833776
3,0.7883642495784149,0.08239959257266853
4,0.8026981450252951,0.07381604081063549
5,0.806070826306914,0.06420723323269063
6,0.8204047217537943,0.05399312083816452
7,0.8271500843170321,0.04362010935144712
8,0.8296795952782462,0.033541549149739544
9,0.8355817875210793,0.024197921676153977
10,0.8591905564924115,0.015997588286985182
11,0.851602023608769,0.009298942900905173
12,0.8524451939291737,0.0043947484649525265
13,0.8566610455311973,0.0014993418089141951
14,0.8709949409780776,0.0007392660973616683
