Iteration,Accuracy,Weight Decay
0,0.6163575042158516,0.06846775782066554
1,0.7133220910623946,0.049252756986285534
2,0.7774030354131535,0.035430312718929324
3,0.8246205733558178,0.025487041460657042
4,0.8473861720067454,0.018334280241060232
5,0.8507588532883642,0.01318889179336965
6,0.8608768971332209,0.009487520887111427
7,0.857504215851602,0.006824914025652041
8,0.8768971332209107,0.004909549292357186
9,0.8263069139966274,0.003531718372347135
10,0.8802698145025295,0.0025405661332276197
11,0.8507588532883642,0.0018275738880655916
12,0.8693086003372681,0.0013146779659287612
13,0.8853288364249579,0.0009457227231058764
14,0.8853288364249579,0.0006803122073830045
