Iteration,Accuracy,Weight Decay
0,0.5935919055649241,0.09238813240221595
1,0.6045531197301856,0.08576911709979504
2,0.636593591905565,0.07915010179737414
3,0.688026981450253,0.07253108649495323
4,0.7268128161888702,0.06591207119253231
5,0.7537942664418212,0.059293055890111405
6,0.7900505902192243,0.05267404058769049
7,0.8490725126475548,0.046055025285269585
8,0.8499156829679595,0.03943600998284867
9,0.836424957841484,0.03281699468042776
10,0.8558178752107926,0.026197979378006858
11,0.857504215851602,0.01957896407558593
12,0.8381112984822934,0.012959948773165031
13,0.8566610455311973,0.006340933470744117
14,0.8296795952782462,-0.00027808183167679634
