Iteration,Accuracy,Weight Decay
0,0.551433389544688,1.747528400007683e-09
1,0.684654300168634,2.7224498908881834e-06
2,0.7217537942664418,5.652437050490834e-06
3,0.7419898819561551,1.4667411082013333e-06
4,0.7723440134907251,0.0004982290216050967
5,0.7866779089376054,0.0010347964949687597
6,0.8187183811129848,0.0002683931587758231
7,0.8052276559865092,1.0403368176783266e-07
8,0.7959527824620574,1.792368340217104e-05
9,0.7833052276559865,0.00013713943858997027
10,0.8128161888701517,0.00010152379288562412
11,0.8254637436762225,3.470280638483994e-07
12,0.8355817875210793,9.152942703070501e-08
13,0.8625632377740303,8.255032631912933e-09
14,0.8650927487352446,1.6297508346206433e-08
