Iteration,Accuracy,Weight Decay
0,0.5708263069139966,0.08535984132026202
1,0.6728499156829679,0.07357799408195281
2,0.7689713322091062,0.0626786822172997
3,0.7689713322091062,0.05266190572630273
4,0.7959527824620574,0.043527664608961875
5,0.836424957841484,0.03527595886527714
6,0.8532883642495784,0.027906788495248514
7,0.8406408094435076,0.02142015349887602
8,0.8541315345699831,0.015816053876159652
9,0.8617200674536256,0.011094489627099403
10,0.8558178752107926,0.007255460751695274
11,0.8659359190556493,0.004298967249947263
12,0.8718381112984823,0.002225009121855379
13,0.8718381112984823,0.0010335863674196155
14,0.8794266441821248,0.0007246989866399735
