Iteration,Accuracy,Weight Decay
0,0.5362563237774031,1.6929940332839853e-05
1,0.6306913996627319,4.819674771645497e-05
2,0.642495784148398,0.0008491182984339101
3,0.7360876897133221,1.666110718779728e-05
4,0.7563237774030354,0.006384179862052017
5,0.7841483979763912,5.906666695624572e-05
6,0.8220910623946037,5.0044327876262094e-05
7,0.8263069139966274,1.2727562814753868e-05
8,0.8482293423271501,9.169787929750738e-05
9,0.8558178752107926,0.00010711618904345997
10,0.8617200674536256,6.768565441636596e-05
11,0.8819561551433389,7.582970949667149e-05
12,0.8870151770657673,1.3044306184314106e-05
13,0.893760539629005,0.00117266951770658
14,0.8996627318718381,1.0362578266776723e-05
