Iteration,Accuracy,Weight Decay
0,0.5286677908937606,0.09856703017754863
1,0.6256323777403036,0.09505156316910253
2,0.6964586846543002,0.08958274611833776
3,0.7647554806070826,0.08239959257266853
4,0.7580101180438449,0.07381604081063549
5,0.7959527824620574,0.06420723323269063
6,0.8676222596964587,0.05399312083816452
7,0.8760539629005059,0.04362010935144712
8,0.8844856661045531,0.033541549149739544
9,0.8827993254637436,0.024197921676153977
10,0.8811129848229342,0.015997588286985182
11,0.8920741989881956,0.009298942900905173
12,0.8954468802698144,0.0043947484649525265
13,0.9089376053962901,0.0014993418089141951
14,0.9064080944350759,0.0007392660973616683
