Iteration,Accuracy,Weight Decay
0,0.6391231028667791,0.06846775782066554
1,0.715008431703204,0.049252756986285534
2,0.8001686340640809,0.035430312718929324
3,0.8271500843170321,0.025487041460657042
4,0.8229342327150084,0.018334280241060232
5,0.842327150084317,0.01318889179336965
6,0.8659359190556493,0.009487520887111427
7,0.8853288364249579,0.006824914025652041
8,0.8448566610455311,0.004909549292357186
9,0.8794266441821248,0.003531718372347135
10,0.8929173693086003,0.0025405661332276197
11,0.8811129848229342,0.0018275738880655916
12,0.8988195615514334,0.0013146779659287612
13,0.9021922428330523,0.0009457227231058764
14,0.8954468802698144,0.0006803122073830045
