Iteration,Accuracy,Weight Decay
0,0.5868465430016864,0.09238813240221595
1,0.6079258010118044,0.08576911709979504
2,0.7074198988195616,0.07915010179737414
3,0.7689713322091062,0.07253108649495323
4,0.8431703204047217,0.06591207119253231
5,0.851602023608769,0.059293055890111405
6,0.8473861720067454,0.05267404058769049
7,0.866779089376054,0.046055025285269585
8,0.8853288364249579,0.03943600998284867
9,0.8903878583473862,0.03281699468042776
10,0.897133220910624,0.026197979378006858
11,0.9114671163575042,0.01957896407558593
12,0.8996627318718381,0.012959948773165031
13,0.9148397976391232,0.006340933470744117
14,0.8887015177065767,-0.00027808183167679634
