Iteration,Accuracy,Weight Decay
0,0.5632377740303541,1.747528400007683e-09
1,0.6736930860033726,2.7224498908881834e-06
2,0.718381112984823,5.652437050490834e-06
3,0.7344013490725126,1.4667411082013333e-06
4,0.7419898819561551,0.0004982290216050967
5,0.7487352445193929,0.0010347964949687597
6,0.7925801011804384,0.0002683931587758231
7,0.821247892074199,1.0403368176783266e-07
8,0.8490725126475548,1.792368340217104e-05
9,0.8414839797639123,0.00013713943858997027
10,0.872681281618887,0.00010152379288562412
11,0.8701517706576728,3.470280638483994e-07
12,0.8870151770657673,9.152942703070501e-08
13,0.872681281618887,8.255032631912933e-09
14,0.8929173693086003,1.6297508346206433e-08
