Iteration,Accuracy,Weight Decay
0,0.5202360876897133,0.08535984132026202
1,0.6070826306913997,0.07357799408195281
2,0.6079258010118044,0.0626786822172997
3,0.6804384485666105,0.05266190572630273
4,0.6973018549747049,0.043527664608961875
5,0.7040472175379426,0.03527595886527714
6,0.6981450252951096,0.027906788495248514
7,0.6973018549747049,0.02142015349887602
8,0.7369308600337268,0.015816053876159652
9,0.7740303541315345,0.011094489627099403
10,0.784991568296796,0.007255460751695274
11,0.842327150084317,0.004298967249947263
12,0.8760539629005059,0.002225009121855379
13,0.9013490725126475,0.0010335863674196155
14,0.8946037099494097,0.0007246989866399735
