Iteration,Accuracy,Weight Decay
0,0.5050590219224284,0.0003855621761535271
1,0.6458684654300169,0.0003378241614858796
2,0.7141652613827993,0.0002900861468182321
3,0.7116357504215851,0.00024234813215058462
4,0.7327150084317032,0.00019461011748293712
5,0.7942664418212478,0.00014687210281528963
6,0.8204047217537943,9.913408814764209e-05
7,0.8431703204047217,5.13960734799946e-05
8,0.8330522765598651,3.658058812347107e-06
9,0.8440134907251264,-4.407995585530041e-05
10,0.8549747048903878,-9.181797052294791e-05
11,0.8558178752107926,-0.00013955598519059542
12,0.8693086003372681,-0.0001872939998582429
13,0.8465430016863407,-0.00023503201452589043
14,0.8743676222596964,-0.0002827700291935379
