Iteration,Accuracy,Weight Decay
0,0.5657672849915683,0.09858055820270807
1,0.6905564924114671,0.09727226402360079
2,0.7740303541315345,0.09482192151862269
3,0.7984822934232715,0.09038950500613194
4,0.8448566610455311,0.08285422480701589
5,0.8701517706576728,0.0713015550205379
6,0.8693086003372681,0.05612288902273666
7,0.8887015177065767,0.03976669372614862
8,0.8929173693086003,0.025510253204049822
9,0.9055649241146712,0.015206179604296878
10,0.8819561551433389,0.008723705342069515
11,0.9097807757166948,0.004994684165192468
12,0.9139966273187183,0.0029592295210260746
13,0.9131534569983136,0.0018799306687658744
14,0.918212478920742,0.0013164192457227669
