Iteration,Accuracy,Weight Decay
0,0.6281618887015177,0.09856703017754863
1,0.6129848229342327,0.09505156316910253
2,0.7175379426644182,0.08958274611833776
3,0.6526138279932546,0.08239959257266853
4,0.657672849915683,0.07381604081063549
5,0.715008431703204,0.06420723323269063
6,0.8178752107925801,0.05399312083816452
7,0.8490725126475548,0.04362010935144712
8,0.8406408094435076,0.033541549149739544
9,0.8718381112984823,0.024197921676153977
10,0.8642495784148398,0.015997588286985182
11,0.8718381112984823,0.009298942900905173
12,0.8718381112984823,0.0043947484649525265
13,0.8330522765598651,0.0014993418089141951
14,0.8811129848229342,0.0007392660973616683
