Iteration,Accuracy,Weight Decay
0,0.6728499156829679,0.06846775782066554
1,0.6812816188870152,0.049252756986285534
2,0.6838111298482293,0.035430312718929324
3,0.7563237774030354,0.025487041460657042
4,0.8043844856661045,0.018334280241060232
5,0.8069139966273187,0.01318889179336965
6,0.8195615514333895,0.009487520887111427
7,0.8397976391231029,0.006824914025652041
8,0.8313659359190556,0.004909549292357186
9,0.8288364249578415,0.003531718372347135
10,0.8617200674536256,0.0025405661332276197
11,0.8583473861720068,0.0018275738880655916
12,0.8566610455311973,0.0013146779659287612
13,0.8642495784148398,0.0009457227231058764
14,0.8532883642495784,0.0006803122073830045
