Iteration,Accuracy,Weight Decay
0,0.6087689713322091,0.09238813240221595
1,0.7158516020236088,0.08576911709979504
2,0.7251264755480608,0.07915010179737414
3,0.6694772344013491,0.07253108649495323
4,0.654300168634064,0.06591207119253231
5,0.7133220910623946,0.059293055890111405
6,0.7411467116357504,0.05267404058769049
7,0.7428330522765598,0.046055025285269585
8,0.8052276559865092,0.03943600998284867
9,0.8499156829679595,0.03281699468042776
10,0.8465430016863407,0.026197979378006858
11,0.8600337268128162,0.01957896407558593
12,0.8397976391231029,0.012959948773165031
13,0.8743676222596964,0.006340933470744117
14,0.8735244519392917,-0.00027808183167679634
