Iteration,Accuracy,Weight Decay
0,0.5505902192242833,1.747528400007683e-09
1,0.654300168634064,2.7224498908881834e-06
2,0.6382799325463744,5.652437050490834e-06
3,0.6930860033726813,1.4667411082013333e-06
4,0.7234401349072512,0.0004982290216050967
5,0.790893760539629,0.0010347964949687597
6,0.811973018549747,0.0002683931587758231
7,0.7833052276559865,1.0403368176783266e-07
8,0.8330522765598651,1.792368340217104e-05
9,0.8397976391231029,0.00013713943858997027
10,0.8220910623946037,0.00010152379288562412
11,0.8271500843170321,3.470280638483994e-07
12,0.8499156829679595,9.152942703070501e-08
13,0.8397976391231029,8.255032631912933e-09
14,0.8482293423271501,1.6297508346206433e-08
