Iteration,Accuracy,Weight Decay
0,0.6863406408094435,0.08535984132026202
1,0.7284991568296796,0.07357799408195281
2,0.7571669477234402,0.0626786822172997
3,0.7824620573355818,0.05266190572630273
4,0.7807757166947723,0.043527664608961875
5,0.8094435075885329,0.03527595886527714
6,0.8305227655986509,0.027906788495248514
7,0.8237774030354131,0.02142015349887602
8,0.8406408094435076,0.015816053876159652
9,0.8549747048903878,0.011094489627099403
10,0.8591905564924115,0.007255460751695274
11,0.8566610455311973,0.004298967249947263
12,0.8676222596964587,0.002225009121855379
13,0.866779089376054,0.0010335863674196155
14,0.8600337268128162,0.0007246989866399735
