Iteration,Accuracy,Weight Decay
0,0.5851602023608768,0.0003855621761535272
1,0.6526138279932546,0.0003378241614858796
2,0.6905564924114671,0.00029008614681823216
3,0.7386172006745363,0.00024234813215058462
4,0.7681281618887015,0.00019461011748293712
5,0.7428330522765598,0.00014687210281528963
6,0.7757166947723441,9.913408814764214e-05
7,0.7689713322091062,5.1396073479994625e-05
8,0.7993254637436762,3.6580588123471343e-06
9,0.8178752107925801,-4.4079955855300356e-05
10,0.8322091062394603,-9.18179705229479e-05
11,0.836424957841484,-0.0001395559851905954
12,0.8397976391231029,-0.00018729399985824288
13,0.8448566610455311,-0.00023503201452589037
14,0.8499156829679595,-0.0002827700291935379
