Iteration,Accuracy,Weight Decay
0,0.52,5.95501370565999e-05
1,0.48,5.95501370565999e-05
2,0.48,5.95501370565999e-05
3,0.52,5.95501370565999e-05
4,0.52,5.95501370565999e-05
5,0.52,5.95501370565999e-05
6,0.52,5.95501370565999e-05
7,0.6942528735632184,5.95501370565999e-05
8,0.7655172413793103,5.95501370565999e-05
9,0.7577011494252873,5.95501370565999e-05
10,0.7898850574712644,5.95501370565999e-05
11,0.7567816091954023,5.95501370565999e-05
12,0.8045977011494253,5.95501370565999e-05
13,0.7806896551724138,5.95501370565999e-05
14,0.7885057471264367,5.95501370565999e-05
15,0.8114942528735632,5.95501370565999e-05
16,0.8073563218390805,5.95501370565999e-05
17,0.8266666666666667,5.95501370565999e-05
18,0.8579310344827586,5.95501370565999e-05
19,0.8606896551724138,5.95501370565999e-05
