,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.6867438554763794,0.6963874697685242,0.694491982460022,0.6938835978507996,0.6925285458564758,0.7028517127037048,0.6974245309829712,0.7024639248847961,0.7048066854476929,0.6932942867279053,0.692983090877533,0.6913220286369324,0.6933225989341736,0.7223964929580688,0.6948143839836121,0.690012514591217,0.6886218786239624,0.6906160712242126,0.6936267614364624,0.6947150230407715,0.7118436694145203,0.691798985004425,0.6928674578666687,0.6860710978507996,0.6892508864402771,0.6901673674583435,0.7005006670951843,0.6919782757759094,0.6955378651618958,0.6965773701667786,0.6917476654052734,0.6908340454101562,0.7021151185035706,0.6934972405433655,0.6987805962562561,0.6912873983383179,0.6947146654129028,0.6928212642669678,0.7101190686225891,0.6981400847434998,0.687700629234314,0.6932592988014221,0.6929694414138794,0.6934718489646912,0.6925201416015625,0.6932504773139954,0.6927299499511719,0.6941708326339722,0.7130405306816101,0.6915724873542786
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
