Iteration,Accuracy,Weight Decay
0,0.5668965517241379,3.4304692863149195e-08
1,0.6124137931034482,3.2639458219991734e-08
2,0.6579310344827586,1.5987111788417138e-08
3,0.735632183908046,1.694633568898692e-08
4,0.7586206896551724,1.7640969257885612e-07
5,0.7783908045977012,3.199267137797384e-07
6,0.791264367816092,3.199267137797384e-07
7,0.8027586206896552,3.047452535080618e-07
8,0.7866666666666666,1.5293065079129583e-07
9,0.8308045977011494,3.96396275506239e-05
10,0.8519540229885058,0.00043587292797340083
11,0.8395402298850575,0.0007534075028189515
12,0.84,0.00036265354746946684
13,0.8855172413793103,1.1385193403020284e-05
14,0.8832183908045977,1.5487250883917444e-05
15,0.8772413793103448,2.1747548641247966e-05
16,0.8942528735632184,4.7432008886478754e-05
17,0.8928735632183908,6.702129847571442e-05
18,0.8951724137931034,3.175405216099409e-05
19,0.8970114942528735,1.3530477745798077e-08
