,0,1,2,3,4,5,6,7,8,9
0,0.52,0.52,0.5489655172413793,0.5158620689655172,0.4997701149425287,0.52,0.4795402298850574,0.48,0.4717241379310344,0.5181609195402299
1,0.52,0.52,0.48,0.48,0.52,0.52,0.48,0.48,0.52,0.4855172413793103
2,0.52,0.52,0.48,0.48,0.52,0.52,0.4583908045977011,0.48,0.52,0.48
3,0.52,0.48,0.52,0.48,0.52,0.52,0.4859770114942529,0.52,0.52,0.48
4,0.52,0.48,0.52,0.48,0.52,0.52,0.5144827586206897,0.52,0.52,0.48
5,0.52,0.48,0.52,0.48,0.52,0.52,0.48,0.52,0.52,0.48
6,0.52,0.48,0.52,0.48,0.52,0.52,0.48,0.52,0.52,0.48
7,0.52,0.48,0.52,0.48,0.52,0.52,0.48,0.52,0.52,0.48
8,0.52,0.48,0.52,0.48,0.52,0.52,0.48,0.52,0.52,0.48
9,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
10,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
11,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
12,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
13,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
14,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
15,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
16,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
17,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.48
18,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
19,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
20,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
21,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
22,0.52,0.48,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
23,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
24,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
25,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
26,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
27,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
28,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
29,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
30,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
31,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.52,0.52,0.52
32,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
33,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
34,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
35,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
36,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
37,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
38,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
39,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
40,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
41,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
42,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
43,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
44,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
45,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
46,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
47,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
49,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
50,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
54,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
55,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
56,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
57,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
58,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
59,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
60,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
61,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
62,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
63,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
64,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
65,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
66,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
67,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
68,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
69,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
70,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
71,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
72,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
73,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
74,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
75,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
76,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
77,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
78,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
79,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
