Iteration,Accuracy,Weight Decay
0,0.6763218390804597,3.4304692863149195e-08
1,0.6878160919540229,3.2639458219991734e-08
2,0.7540229885057471,1.5987111788417138e-08
3,0.767816091954023,1.694633568898692e-08
4,0.7613793103448275,1.7640969257885612e-07
5,0.776551724137931,3.199267137797384e-07
6,0.7889655172413793,3.199267137797384e-07
7,0.7875862068965517,3.047452535080618e-07
8,0.7986206896551724,1.5293065079129583e-07
9,0.7940229885057472,3.96396275506239e-05
10,0.8032183908045977,0.00043587292797340083
11,0.7618390804597701,0.0007534075028189515
12,0.807816091954023,0.00036265354746946684
13,0.7944827586206896,1.1385193403020284e-05
14,0.7981609195402298,1.5487250883917444e-05
15,0.8367816091954023,2.1747548641247966e-05
16,0.8317241379310345,4.7432008886478754e-05
17,0.8822988505747127,6.702129847571442e-05
18,0.8827586206896552,3.175405216099409e-05
19,0.8809195402298851,1.3530477745798077e-08
