Iteration,Accuracy,Weight Decay
0,0.52,0.09927939343658938
1,0.52,0.09926128603287193
2,0.48,0.09924272709896995
3,0.48,0.09922370555206124
4,0.48,0.09920421004627664
5,0.48,0.09918422896691492
6,0.48,0.09916375042455446
7,0.48,0.0991427622490608
8,0.48,0.09912125198348969
9,0.48,0.09909920687788533
10,0.48,0.09907661388297342
11,0.48,0.09905345964374876
12,0.48,0.09902973049295768
13,0.48,0.09900541244447471
14,0.48,0.0989804911865743
15,0.48,0.09895495207509747
16,0.48,0.09892878012651389
17,0.48,0.09890196001088018
18,0.48,0.09887447604469467
19,0.48,0.09884631218365035
20,0.48,0.09881745201528605
21,0.48,0.09878787875153817
22,0.48,0.09875757522119356
23,0.48,0.09872652386224585
24,0.48,0.09869470671415678
25,0.48,0.09866210541002493
26,0.48,0.09862870116866396
27,0.48,0.09859447478659339
28,0.48,0.09855940662994453
29,0.48,0.09852347662628491
30,0.48,0.09848666425636499
31,0.48,0.09844894854579045
32,0.52,0.09841030805662504
33,0.52,0.09837072087892784
34,0.52,0.09833016462223028
35,0.52,0.09828861640695814
36,0.52,0.0982460528558045
37,0.52,0.09820245008505922
38,0.52,0.09815778369590247
39,0.52,0.09811202876566857
40,0.52,0.0980651598390884
41,0.52,0.09801715091951797
42,0.52,0.09796797546016237
43,0.52,0.0979176063553038
44,0.52,0.09786601593154386
45,0.52,0.09781317593907017
46,0.52,0.09775905754295902
47,0.52,0.09770363131452478
48,0.52,0.09764686722272954
49,0.52,0.09758873462566528
50,0.52,0.09752920226212276
51,0.52,0.097468238243262
52,0.52,0.09740581004439906
53,0.52,0.09734188449692621
54,0.52,0.09727642778038183
55,0.52,0.09720940541468853
56,0.52,0.09714078225257808
57,0.52,0.09707052247222304
58,0.52,0.09699858957009584
59,0.52,0.096924946354077
60,0.52,0.09684955493683534
61,0.52,0.09677237672950406
62,0.52,0.09669337243567729
63,0.52,0.09661250204575343
64,0.52,0.09652972483165204
65,0.52,0.09644499934193285
66,0.52,0.09635828339734599
67,0.52,0.09626953408684431
68,0.52,0.09617870776408931
69,0.52,0.09608576004448405
70,0.52,0.0959906458027669
71,0.52,0.09589331917120218
72,0.52,0.0957937335384039
73,0.52,0.09569184154883127
74,0.52,0.09558759510299489
75,0.52,0.09548094535841453
76,0.52,0.09537184273137042
77,0.52,0.09526023689949109
78,0.52,0.09514607680522254
79,0.52,0.09502931066022437
80,0.52,0.09490988595073971
81,0.52,0.09478774944398755
82,0.52,0.09466284719562643
83,0.52,0.09453512455834057
84,0.52,0.0944045261915995
85,0.52,0.09427099607264457
86,0.52,0.09413447750875553
87,0.52,0.09399491315085237
88,0.52,0.0938522450084874
89,0.52,0.09370641446628447
90,0.52,0.09355736230188198
91,0.52,0.09340502870543756
92,0.52,0.09324935330075218
93,0.52,0.09309027516807265
94,0.52,0.09292773286863075
95,0.52,0.09276166447097804
96,0.52,0.09259200757917499
97,0.52,0.09241869936289278
98,0.52,0.09224167658948602
99,0.52,0.09206087565809365
100,0.52,0.09187623263582448
101,0.52,0.09168768329608336
102,0.52,0.09149516315909154
103,0.52,0.09129860753465463
104,0.52,0.09109795156722844
105,0.52,0.09089313028333182
106,0.52,0.09068407864135286
107,0.52,0.09047073158379208
108,0.52,0.09025302409198337
109,0.52,0.09003089124333002
110,0.52,0.08980426827108942
111,0.52,0.0895730906267359
112,0.52,0.08933729404492699
113,0.52,0.08909681461109335
114,0.52,0.088851588831667
115,0.52,0.08860155370695776
