Iteration,Accuracy,Weight Decay
0,0.7011494252873564,3.4304692863149195e-08
1,0.6919540229885057,3.2639458219991734e-08
2,0.7273563218390805,1.5987111788417138e-08
3,0.7172413793103448,1.694633568898692e-08
4,0.7420689655172413,1.7640969257885612e-07
5,0.7682758620689655,3.199267137797384e-07
6,0.7788505747126436,3.199267137797384e-07
7,0.7829885057471264,3.047452535080618e-07
8,0.7935632183908046,1.5293065079129583e-07
9,0.8082758620689655,3.96396275506239e-05
10,0.8156321839080459,0.00043587292797340083
11,0.8179310344827586,0.0007534075028189515
12,0.8114942528735632,0.00036265354746946684
13,0.8170114942528736,1.1385193403020284e-05
14,0.8202298850574713,1.5487250883917444e-05
15,0.8335632183908046,2.1747548641247966e-05
16,0.8289655172413793,4.7432008886478754e-05
17,0.8367816091954023,6.702129847571442e-05
18,0.8358620689655173,3.175405216099409e-05
19,0.824367816091954,1.3530477745798077e-08
