Iteration,Accuracy,Weight Decay
0,0.48,0.00013151007020786144
1,0.592183908045977,8.377205554021394e-05
2,0.7351724137931035,3.6034040872566454e-05
3,0.7282758620689656,-1.1703973795081036e-05
4,0.7039080459770115,-5.944198846272857e-05
5,0.7779310344827586,-0.00010718000313037606
6,0.776551724137931,-0.00015491801779802356
7,0.7770114942528735,-0.0002026560324656711
8,0.7710344827586207,-0.0002503940471333186
9,0.7829885057471264,-0.0002981320618009661
10,0.7774712643678161,-0.00034587007646861363
11,0.7774712643678161,-0.0003936080911362611
12,0.8013793103448276,-0.0004413461058039086
13,0.8124137931034483,-0.0004890841204715561
14,0.8101149425287356,-0.0005368221351392036
15,0.8091954022988506,-0.0005845601498068511
16,0.8110344827586207,-0.0006322981644744986
17,0.8170114942528736,-0.0006800361791421462
18,0.7986206896551724,-0.0007277741938097937
19,0.8165517241379311,-0.0007755122084774412
