Iteration,Accuracy,Weight Decay
0,0.52,0.0010161691443009286
1,0.52,0.007953586498201114
2,0.52,0.00016052685382349184
3,0.52,0.0009800936794861447
4,0.52,2.56297053658714e-05
5,0.52,5.0964741879919634e-05
6,0.6514942528735632,0.0027750315587640713
7,0.670344827586207,0.00036836565363295077
8,0.7328735632183908,0.0001162727339011216
9,0.7328735632183908,1.9544787262159507e-05
10,0.7222988505747127,0.00790204940433312
11,0.7567816091954023,0.0038206173526564953
12,0.7880459770114943,6.411968838047198e-05
13,0.7981609195402298,6.093517123338127e-05
14,0.8064367816091954,6.966798801543227e-05
15,0.799080459770115,0.00013981696558703727
16,0.7613793103448275,8.65295047199705e-05
17,0.8197701149425287,0.00023652695749948509
18,0.8202298850574713,3.46015138409418e-05
19,0.8137931034482758,0.0002383662625138867
