Iteration,Accuracy,Weight Decay
0,0.624367816091954,3.4304692863149195e-08
1,0.6344827586206897,3.2639458219991734e-08
2,0.6740229885057472,1.5987111788417138e-08
3,0.7163218390804598,1.694633568898692e-08
4,0.7613793103448275,1.7640969257885612e-07
5,0.7664367816091954,3.199267137797384e-07
6,0.7774712643678161,3.199267137797384e-07
7,0.7967816091954023,3.047452535080618e-07
8,0.8059770114942528,1.5293065079129583e-07
9,0.8142528735632184,3.96396275506239e-05
10,0.8091954022988506,0.00043587292797340083
11,0.8045977011494253,0.0007534075028189515
12,0.7940229885057472,0.00036265354746946684
13,0.8068965517241379,1.1385193403020284e-05
14,0.8119540229885057,1.5487250883917444e-05
15,0.8165517241379311,2.1747548641247966e-05
16,0.8170114942528736,4.7432008886478754e-05
17,0.8082758620689655,6.702129847571442e-05
18,0.8266666666666667,3.175405216099409e-05
19,0.8257471264367816,1.3530477745798077e-08
