Iteration,Accuracy,Weight Decay
0,0.6096551724137931,0.08930887037591163
1,0.6777011494252874,0.08011434898852084
2,0.7149425287356321,0.07141952985044475
3,0.7324137931034482,0.06322441296168341
4,0.7613793103448275,0.05552899832223677
5,0.776551724137931,0.04833328593210485
6,0.7788505747126436,0.041637275791287634
7,0.7820689655172414,0.03544096789978514
8,0.7963218390804597,0.02974436225759736
9,0.8009195402298851,0.02454745886472431
10,0.8073563218390805,0.019850257721165963
11,0.8151724137931035,0.01565275882692235
12,0.8170114942528736,0.011954962181993437
13,0.8220689655172414,0.008756867786379253
14,0.8160919540229885,0.006058475640079777
15,0.7806896551724138,0.0038597857430950214
16,0.8128735632183908,0.0021607980954249854
17,0.8262068965517242,0.0009615126970696637
18,0.8317241379310345,0.0002619295480290607
19,0.8266666666666667,6.204864830317338e-05
