Iteration,Accuracy,Weight Decay
0,0.48229885057471267,6.86097120879852e-05
1,0.6542528735632184,1.1461685495873002e-05
2,0.6896551724137931,0.006428101121680165
3,0.7048275862068966,0.001376289279247816
4,0.7025287356321839,0.00018479275901561883
5,0.7724137931034483,0.00023861907337031365
6,0.7783908045977012,0.00012761426816517414
7,0.7977011494252874,0.0022709681152169453
8,0.7489655172413793,3.11440062371317e-05
9,0.8082758620689655,0.0008605719340608768
10,0.8059770114942528,9.620798421591333e-05
11,0.774712643678161,2.1691015623676814e-05
12,0.7774712643678161,0.00024716803524422434
13,0.7963218390804597,1.113837489044739e-05
14,0.807816091954023,0.0005971338487093152
15,0.7609195402298851,0.0069431632963016625
16,0.8059770114942528,0.00010826832593642305
17,0.8114942528735632,0.0009370522245620241
18,0.8197701149425287,0.0003316546043764124
19,0.8266666666666667,0.008975532982830521
