Iteration,Accuracy,Weight Decay
0,0.52,3.4304692863149195e-08
1,0.52,3.2639458219991734e-08
2,0.5204597701149425,1.5987111788417138e-08
3,0.5291954022988505,1.694633568898692e-08
4,0.64,1.7640969257885612e-07
5,0.7158620689655173,3.199267137797384e-07
6,0.7296551724137931,3.199267137797384e-07
7,0.7213793103448276,3.047452535080618e-07
8,0.7508045977011494,1.5293065079129583e-07
9,0.7848275862068965,3.96396275506239e-05
10,0.791264367816092,0.00043587292797340083
11,0.799080459770115,0.0007534075028189515
12,0.7926436781609195,0.00036265354746946684
13,0.8045977011494253,1.1385193403020284e-05
14,0.8045977011494253,1.5487250883917444e-05
15,0.8128735632183908,2.1747548641247966e-05
16,0.8229885057471265,4.7432008886478754e-05
17,0.8165517241379311,6.702129847571442e-05
18,0.8142528735632184,3.175405216099409e-05
19,0.8266666666666667,1.3530477745798077e-08
