Iteration,Accuracy,Weight Decay
0,0.6583908045977012,0.00013151007020786144
1,0.6896551724137931,8.377205554021394e-05
2,0.7103448275862069,3.603404087256643e-05
3,0.7222988505747127,-1.1703973795081064e-05
4,0.7429885057471264,-5.944198846272858e-05
5,0.7439080459770115,-0.00010718000313037607
6,0.7563218390804598,-0.0001549180177980236
7,0.7687356321839081,-0.00020265603246567108
8,0.7347126436781609,-0.0002503940471333186
9,0.8114942528735632,-0.0002981320618009661
10,0.8105747126436782,-0.00034587007646861363
11,0.8156321839080459,-0.0003936080911362611
12,0.824367816091954,-0.0004413461058039086
13,0.7995402298850575,-0.0004890841204715561
14,0.8193103448275862,-0.0005368221351392036
15,0.8390804597701149,-0.0005845601498068512
16,0.8611494252873563,-0.0006322981644744986
17,0.8648275862068966,-0.0006800361791421462
18,0.8625287356321839,-0.0007277741938097937
19,0.8809195402298851,-0.0007755122084774412
