Iteration,Accuracy,Weight Decay
0,0.48,5.95501370565999e-05
1,0.48,5.95501370565999e-05
2,0.48,5.95501370565999e-05
3,0.48,5.95501370565999e-05
4,0.48,5.95501370565999e-05
5,0.48,5.95501370565999e-05
6,0.48,5.95501370565999e-05
7,0.48,5.95501370565999e-05
8,0.48,5.95501370565999e-05
9,0.48,5.95501370565999e-05
10,0.48,5.95501370565999e-05
11,0.48,5.95501370565999e-05
12,0.48,5.95501370565999e-05
13,0.48,5.95501370565999e-05
14,0.8105747126436782,5.95501370565999e-05
15,0.8188505747126437,5.95501370565999e-05
16,0.8537931034482759,5.95501370565999e-05
17,0.8298850574712644,5.95501370565999e-05
18,0.8303448275862069,5.95501370565999e-05
19,0.8390804597701149,5.95501370565999e-05
